chr,rep,partial_loss,partial_gain,loss,gain,TOTAL
1,1,0.758396533,0.650054171,3.033586132,1.841820152,6.283856988
2,1,0.541711809,0.758396533,3.575297941,1.950162514,6.825568797
3,1,0.650054171,0.325027086,3.575297941,2.058504875,6.608884074
4,1,0.108342362,0.433369447,2.816901408,2.275189599,5.633802817
5,1,0.541711809,0.433369447,2.383531961,2.491874323,5.850487541
6,1,0.650054171,0.108342362,2.166847237,1.841820152,4.767063922
7,1,0.325027086,0.108342362,1.516793066,2.166847237,4.117009751
8,1,0.216684724,0.216684724,3.033586132,1.516793066,4.983748646
9,1,0.325027086,0.216684724,2.383531961,1.516793066,4.442036836
10,1,0.108342362,0.216684724,2.275189599,2.058504875,4.65872156
11,1,0.108342362,0.216684724,1.625135428,2.383531961,4.333694475
12,1,0,0.325027086,1.841820152,1.19176598,3.358613218
13,1,0.108342362,0.433369447,2.058504875,1.300108342,3.900325027
14,1,0.216684724,0.108342362,1.19176598,0.433369447,1.950162514
15,1,0.108342362,0.108342362,0.975081257,1.083423619,2.275189599
16,1,0.325027086,0,3.033586132,1.625135428,4.983748646
17,1,0,0.108342362,2.166847237,1.841820152,4.117009751
18,1,0.216684724,0,2.708559047,1.841820152,4.767063922
19,1,0,0.108342362,1.083423619,0.541711809,1.73347779
20,1,0,0,2.600216685,1.083423619,3.683640303
21,1,0,0,0.758396533,1.083423619,1.841820152
22,1,0,0,0.866738895,1.516793066,2.383531961
X,1,0.108342362,0.541711809,3.683640303,2.166847237,6.500541712
1,2,0.64171123,0.42780749,3.31550802,2.35294118,6.73796791
2,2,0.7486631,0.85561497,3.52941176,0.85561497,5.98930481
3,2,0.64171123,0,3.42245989,1.06951872,5.13368984
4,2,0.64171123,0.32085561,2.56684492,1.81818182,5.34759358
5,2,0.7486631,0.64171123,3.10160428,1.06951872,5.56149733
6,2,0.53475936,0.21390374,2.2459893,1.81818182,4.81283422
7,2,0.42780749,0.32085561,2.56684492,0.7486631,4.06417112
8,2,0.42780749,0.32085561,2.88770053,2.13903743,5.77540107
9,2,0.42780749,0,2.2459893,1.92513369,4.59893048
10,2,0.21390374,0,2.56684492,1.39037433,4.17112299
11,2,0.21390374,0.42780749,3.42245989,1.92513369,5.98930481
12,2,0.53475936,0.10695187,2.88770053,0.96256684,4.49197861
13,2,0.21390374,0.32085561,2.45989305,1.17647059,4.17112299
14,2,0.32085561,0.21390374,1.17647059,0.7486631,2.45989305
15,2,0.10695187,0.21390374,1.06951872,0.64171123,2.03208556
16,2,0.21390374,0,2.56684492,1.06951872,3.85026738
17,2,0.21390374,0,2.56684492,0.96256684,3.74331551
18,2,0.10695187,0,3.63636364,1.39037433,5.13368984
19,2,0.42780749,0.10695187,1.71122995,0.42780749,2.67379679
20,2,0,0,2.13903743,1.06951872,3.20855615
21,2,0.10695187,0,1.28342246,1.06951872,2.45989305
22,2,0,0,1.60427807,0.53475936,2.13903743
X,2,0.64171123,0.21390374,2.88770053,1.71122995,5.45454545
1,3,0.30,0.60,2.38,2.58,5.85
2,3,0.50,0.89,2.78,2.88,7.04
3,3,0.89,0.20,2.48,1.98,5.56
4,3,0.50,0.50,3.27,1.79,6.05
5,3,0.20,0.30,3.27,1.98,5.75
6,3,0.30,0.00,2.28,2.18,4.76
7,3,0.20,0.10,1.98,1.98,4.27
8,3,0.40,0.10,2.68,2.68,5.85
9,3,0.00,0.20,2.08,2.18,4.46
10,3,0.40,0.10,2.18,1.29,3.97
11,3,0.20,0.00,2.98,1.49,4.66
12,3,0.10,0.30,2.08,2.08,4.56
13,3,0.10,0.10,2.58,1.49,4.27
14,3,0.00,0.10,2.08,1.19,3.37
15,3,0.00,0.00,1.49,1.09,2.58
16,3,0.10,0.20,1.98,1.09,3.37
17,3,0.20,0.00,2.18,2.08,4.46
18,3,0.10,0.00,2.68,2.38,5.16
19,3,0.10,0.10,1.29,0.60,2.08
20,3,0.00,0.00,1.79,0.99,2.78
21,3,0.00,0.00,1.49,1.09,2.58
22,3,0.00,0.00,1.19,0.79,1.98
X,3,0.10,0.40,2.88,1.19,4.56